id_componente,codigo,nivel,nome,unidade_responsavel
25299,DPU0045,G,NOCOES DE DIREITO E LEGISLACAO TURISTICA,DEPARTAMENTO DE DIREITO PUBLICO - DIPUB
25300,DPU0001,G,INTRODUCAO AO ESTUDO DO DIREITO I,DEPARTAMENTO DE DIREITO PUBLICO - DIPUB
25301,DPU0040,G,NOCOES DE DIREITO,DEPARTAMENTO DE DIREITO PUBLICO - DIPUB
25302,DPU0200,G,INTRODUÇÃO AO ESTUDO DO DIREITO,DEPARTAMENTO DE DIREITO PUBLICO - DIPUB
25303,ESE0600,G,INTRODUCAO A CIENCIA DO DIREITO I,CERES - DEPTO ESTUDOS SOCIAIS E EDUCACIONAIS
25304,DPU0206,G,DIREITO PENAL I,DEPARTAMENTO DE DIREITO PUBLICO - DIPUB
25305,ESE0662,G,DIREITO DO MEIO AMBIENTE,CERES - DEPTO ESTUDOS SOCIAIS E EDUCACIONAIS
25306,ESE0608,G,HISTORIA DO DIREITO,CERES - DEPTO ESTUDOS SOCIAIS E EDUCACIONAIS
25307,ESE0652,G,TEORIA DA ARGUMENTACAO,CERES - DEPTO ESTUDOS SOCIAIS E EDUCACIONAIS
25308,DSC0090,G,SAUDE E CIDADANIA,DEPARTAMENTO DE SAÚDE COLETIVA
25309,DSC0061,G,BIOESTATISTICA,DEPARTAMENTO DE SAÚDE COLETIVA
25310,FST0331,G,METODOLOGIA DA PESQUISA CIENTIFICA,DEPARTAMENTO DE FISIOTERAPIA
25311,FST0302,G,FUNDAMENTOS DE EPIDEMIOLOGIA E SAUDE PUBLICA,DEPARTAMENTO DE FISIOTERAPIA
25312,DSC0004,G,BIOESTATISTICA,DEPARTAMENTO DE SAÚDE COLETIVA
25313,DSC0003,G,SAUDE E CIDADANIA,DEPARTAMENTO DE SAÚDE COLETIVA
25314,DSC0010,G,SAUDE E CIDADANIA,DEPARTAMENTO DE SAÚDE COLETIVA
25315,MCL0101,G,INTRODUCAO A MEDICINA E BIOETICA,DEPARTAMENTO DE MEDICINA CLÍNICA
25316,MCL0102,G,INTRODUCAO A METODOLOGIA CIENTIFICA,DEPARTAMENTO DE MEDICINA CLÍNICA
25317,DSC0707,G,ADMINISTRACAO SANITARIA,DEPARTAMENTO DE SAÚDE COLETIVA
25318,CSH0099,G,INTRODUCAO A ECONOMIA I,CERES - DEPTO CIÊNCIAS SOCIAIS E HUMANAS
25319,ECO0311,G,ECONOMIA PARA ENGENHARIA,DEPARTAMENTO DE ECONOMIA - DEPEC
25320,ECO0506,G,FUNDAMENTOS DE ECONOMIA POLITICA,DEPARTAMENTO DE ECONOMIA - DEPEC
